year,crop,national_production_t,avg_national_yield,avg_temp_max,avg_temp_min,total_precip_mm,_pipeline_layer,_pipeline_ts
2014,Maize,2168813.61,2703.78,,,,gold,2026-04-22T13:57:31.275346
2014,Mustard,2614736.5,2746.71,,,,gold,2026-04-22T13:57:31.275346
2014,Rice,2533494.15,2754.18,,,,gold,2026-04-22T13:57:31.275346
2014,Soybean,2899067.6,2943.95,,,,gold,2026-04-22T13:57:31.275346
2014,Sugarcane,2101443.96,2912.71,,,,gold,2026-04-22T13:57:31.275346
2014,Wheat,1525563.42,3006.1,,,,gold,2026-04-22T13:57:31.275346
2015,Barley,1901097.17,2590.28,,,,gold,2026-04-22T13:57:31.275346
2015,Cotton,1491142.39,2322.38,,,,gold,2026-04-22T13:57:31.275346
2015,Groundnut,2085539.14,2934.3,,,,gold,2026-04-22T13:57:31.275346
2015,Jowar,2201494.82,2929.6,,,,gold,2026-04-22T13:57:31.275346
2015,Maize,2516324.89,2611.02,,,,gold,2026-04-22T13:57:31.275346
2015,Mustard,1724431.41,2946.17,,,,gold,2026-04-22T13:57:31.275346
2015,Rice,2021063.2,2493.88,,,,gold,2026-04-22T13:57:31.275346
2015,Soybean,2675076.07,2710.96,,,,gold,2026-04-22T13:57:31.275346
2015,Sugarcane,2017695.8,2737.36,,,,gold,2026-04-22T13:57:31.275346
2015,Wheat,2163210.53,3014.3,,,,gold,2026-04-22T13:57:31.275346
2016,Barley,1311099.6,2299.48,,,,gold,2026-04-22T13:57:31.275346
2016,Cotton,2693648.56,2947.42,,,,gold,2026-04-22T13:57:31.275346
2016,Groundnut,2190026.03,2581.08,,,,gold,2026-04-22T13:57:31.275346
2016,Jowar,1908197.0,2908.65,,,,gold,2026-04-22T13:57:31.275346
2016,Maize,2212586.48,2738.52,,,,gold,2026-04-22T13:57:31.275346
2016,Mustard,1634866.51,2435.8,,,,gold,2026-04-22T13:57:31.275346
2016,Rice,1904197.77,2841.67,,,,gold,2026-04-22T13:57:31.275346
2016,Soybean,2389717.55,2430.07,,,,gold,2026-04-22T13:57:31.275346
2016,Sugarcane,1904889.94,2745.32,,,,gold,2026-04-22T13:57:31.275346
2016,Wheat,1424366.03,3006.13,,,,gold,2026-04-22T13:57:31.275346
2017,Barley,1140880.32,2246.5,,,,gold,2026-04-22T13:57:31.275346
2017,Cotton,2138197.99,2790.24,,,,gold,2026-04-22T13:57:31.275346
2017,Groundnut,1782754.24,3047.74,,,,gold,2026-04-22T13:57:31.275346
2017,Jowar,3191003.05,3184.8,,,,gold,2026-04-22T13:57:31.275346
2017,Maize,1631994.49,2772.35,,,,gold,2026-04-22T13:57:31.275346
2017,Mustard,2351826.92,2892.95,,,,gold,2026-04-22T13:57:31.275346
2017,Rice,2212582.37,2652.92,,,,gold,2026-04-22T13:57:31.275346
2017,Soybean,1917835.45,2550.6,,,,gold,2026-04-22T13:57:31.275346
2017,Sugarcane,2233790.0,2662.79,,,,gold,2026-04-22T13:57:31.275346
2017,Wheat,3220166.03,2678.52,,,,gold,2026-04-22T13:57:31.275346
2018,Barley,2990258.85,2755.76,,,,gold,2026-04-22T13:57:31.275346
2018,Cotton,1611892.64,2691.16,,,,gold,2026-04-22T13:57:31.275346
2018,Groundnut,2296456.52,2640.68,,,,gold,2026-04-22T13:57:31.275346
2018,Jowar,1651880.18,2744.11,,,,gold,2026-04-22T13:57:31.275346
2018,Maize,1666213.33,2641.36,,,,gold,2026-04-22T13:57:31.275346
2018,Mustard,1003161.92,2390.47,,,,gold,2026-04-22T13:57:31.275346
2018,Rice,2042926.73,2876.85,,,,gold,2026-04-22T13:57:31.275346
2018,Soybean,837746.61,2596.29,,,,gold,2026-04-22T13:57:31.275346
2018,Sugarcane,2248827.86,3120.22,,,,gold,2026-04-22T13:57:31.275346
2018,Wheat,2865128.56,2534.62,,,,gold,2026-04-22T13:57:31.275346
2019,Barley,2698250.38,2866.52,,,,gold,2026-04-22T13:57:31.275346
2019,Cotton,2119549.14,2654.16,,,,gold,2026-04-22T13:57:31.275346
2019,Groundnut,1584856.97,2946.15,,,,gold,2026-04-22T13:57:31.275346
2019,Jowar,1879747.02,2381.62,,,,gold,2026-04-22T13:57:31.275346
2019,Maize,2004849.75,3146.15,,,,gold,2026-04-22T13:57:31.275346
2019,Mustard,2230198.09,2788.91,,,,gold,2026-04-22T13:57:31.275346
2019,Rice,1946104.99,2803.84,,,,gold,2026-04-22T13:57:31.275346
2019,Soybean,2305536.15,2344.89,,,,gold,2026-04-22T13:57:31.275346
2019,Sugarcane,2176780.23,2429.9,,,,gold,2026-04-22T13:57:31.275346
2019,Wheat,1958906.06,2862.13,,,,gold,2026-04-22T13:57:31.275346
2020,Barley,2069914.69,2223.51,,,,gold,2026-04-22T13:57:31.275346
2020,Cotton,2168645.59,2589.53,,,,gold,2026-04-22T13:57:31.275346
2020,Groundnut,2323494.62,2814.51,,,,gold,2026-04-22T13:57:31.275346
2020,Jowar,1937319.46,2900.32,,,,gold,2026-04-22T13:57:31.275346
2020,Maize,2633255.68,2435.62,,,,gold,2026-04-22T13:57:31.275346
2020,Mustard,2593722.91,2757.08,,,,gold,2026-04-22T13:57:31.275346
2020,Rice,1789548.55,2791.02,,,,gold,2026-04-22T13:57:31.275346
2020,Soybean,1454688.18,2424.96,,,,gold,2026-04-22T13:57:31.275346
2020,Sugarcane,1659251.73,2995.34,,,,gold,2026-04-22T13:57:31.275346
2020,Wheat,2083047.88,2380.59,,,,gold,2026-04-22T13:57:31.275346
2021,Barley,2123144.54,2592.41,,,,gold,2026-04-22T13:57:31.275346
2021,Cotton,1838157.05,2898.84,,,,gold,2026-04-22T13:57:31.275346
2021,Groundnut,2640373.02,2612.52,,,,gold,2026-04-22T13:57:31.275346
2021,Jowar,2710324.77,2681.73,,,,gold,2026-04-22T13:57:31.275346
2021,Maize,3032418.8,2956.52,,,,gold,2026-04-22T13:57:31.275346
2021,Mustard,1367076.6,2385.5,,,,gold,2026-04-22T13:57:31.275346
2021,Rice,922934.26,3219.76,,,,gold,2026-04-22T13:57:31.275346
2021,Soybean,2415864.45,2808.15,,,,gold,2026-04-22T13:57:31.275346
2021,Sugarcane,2614461.45,3156.3,,,,gold,2026-04-22T13:57:31.275346
2021,Wheat,1575590.95,2898.89,,,,gold,2026-04-22T13:57:31.275346
2022,Barley,1920658.73,2732.18,,,,gold,2026-04-22T13:57:31.275346
2022,Cotton,1858216.04,2229.14,,,,gold,2026-04-22T13:57:31.275346
2022,Groundnut,1973491.22,2489.87,,,,gold,2026-04-22T13:57:31.275346
2022,Jowar,2084552.05,2306.79,,,,gold,2026-04-22T13:57:31.275346
2022,Maize,1790479.0,2987.22,,,,gold,2026-04-22T13:57:31.275346
2022,Mustard,1590326.45,2564.44,,,,gold,2026-04-22T13:57:31.275346
2022,Rice,1922429.64,2550.57,,,,gold,2026-04-22T13:57:31.275346
2022,Soybean,1939633.33,2776.39,,,,gold,2026-04-22T13:57:31.275346
2022,Sugarcane,2519110.44,2641.38,,,,gold,2026-04-22T13:57:31.275346
2022,Wheat,1874342.02,2527.59,,,,gold,2026-04-22T13:57:31.275346
2023,Barley,2987279.98,2789.63,,,,gold,2026-04-22T13:57:31.275346
2023,Cotton,2949909.44,3154.03,,,,gold,2026-04-22T13:57:31.275346
2023,Groundnut,1522803.21,2499.92,,,,gold,2026-04-22T13:57:31.275346
2023,Jowar,1773741.41,2602.42,,,,gold,2026-04-22T13:57:31.275346
2023,Maize,2890763.55,3178.53,,,,gold,2026-04-22T13:57:31.275346
2023,Mustard,2282940.25,2622.07,,,,gold,2026-04-22T13:57:31.275346
2023,Rice,1479169.33,2586.61,,,,gold,2026-04-22T13:57:31.275346
2023,Soybean,2252302.96,3008.82,,,,gold,2026-04-22T13:57:31.275346
2023,Sugarcane,1741852.02,2617.14,,,,gold,2026-04-22T13:57:31.275346
2023,Wheat,1691581.7,2602.86,,,,gold,2026-04-22T13:57:31.275346
