state,hospital_type,hospital_count,total_beds,avg_beds_per_hospital,total_doctors,total_nurses,accreditation_pct,_pipeline_layer,_pipeline_ts
Tamil Nadu,Charitable,49,21112.0,430.9,4626.0,13784.0,67.35,gold,2026-04-22T13:57:31.220286
Tamil Nadu,Government,56,22518.0,402.1,5831.0,13854.0,60.71,gold,2026-04-22T13:57:31.220286
Tamil Nadu,Private,57,25164.0,441.5,5926.0,13663.0,59.65,gold,2026-04-22T13:57:31.220286
Tamil Nadu,Trust,53,19749.0,372.6,5189.0,13360.0,43.4,gold,2026-04-22T13:57:31.220286
Telangana,Charitable,50,20637.0,412.7,4222.0,11993.0,54.0,gold,2026-04-22T13:57:31.220286
Telangana,Government,56,24378.0,435.3,5738.0,14615.0,58.93,gold,2026-04-22T13:57:31.220286
Telangana,Private,50,19552.0,391.0,5078.0,15827.0,64.0,gold,2026-04-22T13:57:31.220286
Telangana,Trust,51,18887.0,370.3,5150.0,11926.0,68.63,gold,2026-04-22T13:57:31.220286
Uttar Pradesh,Charitable,40,19884.0,497.1,3775.0,10638.0,62.5,gold,2026-04-22T13:57:31.220286
Uttar Pradesh,Government,52,19068.0,366.7,5316.0,13452.0,61.54,gold,2026-04-22T13:57:31.220286
Uttar Pradesh,Private,52,19992.0,384.5,4766.0,13558.0,65.38,gold,2026-04-22T13:57:31.220286
Uttar Pradesh,Trust,55,21992.0,399.9,5526.0,14023.0,54.55,gold,2026-04-22T13:57:31.220286
West Bengal,Charitable,53,23017.0,434.3,4517.0,15155.0,64.15,gold,2026-04-22T13:57:31.220286
West Bengal,Government,50,21737.0,434.7,5692.0,11033.0,62.0,gold,2026-04-22T13:57:31.220286
West Bengal,Private,32,13937.0,435.5,2932.0,8541.0,56.25,gold,2026-04-22T13:57:31.220286
West Bengal,Trust,44,16596.0,377.2,4159.0,13289.0,65.91,gold,2026-04-22T13:57:31.220286
