state_name,district_name,crop_year,season,crop,area_hectares,yield_kg_per_ha,production_tonnes
Assam,Assa_District_19,2018.0,Zaid,Wheat,7748.89,1306.71,10125.55
Maharashtra,Maha_District_09,2023.0,Zaid,Rice,30009.2,4435.53,133106.71
Andhra Pradesh,Andh_District_14,2022.0,Zaid,Barley,9902.09,1896.46,18778.92
Andhra Pradesh,Andh_District_13,2010.0,Kharif,Groundnut,38892.5,4873.22,189531.71
Haryana,Hary_District_15,2011.0,Kharif,Groundnut,25086.99,1147.54,28788.32
Gujarat,Guja_District_09,,Kharif,Barley,795.42,1533.45,1219.74
Gujarat,Guja_District_09,2013.0,Rabi,Sugarcane,,3549.46,23703.05
Karnataka,Karn_District_16,2013.0,Zaid,Groundnut,6179.44,2778.48,17169.45
Uttar Pradesh,Utta_District_02,2011.0,Rabi,Barley,,3115.02,108227.32
Andhra Pradesh,Andh_District_05,2021.0,Rabi,Groundnut,10068.81,4118.56,41469.0
Bihar,Biha_District_19,2011.0,Rabi,Wheat,35798.82,3825.43,136945.88
Punjab,Punj_District_19,2013.0,Zaid,Sugarcane,,1056.89,7017.52
Uttar Pradesh,Utta_District_08,2021.0,Zaid,,46385.37,2289.1,106180.75
,Punj_District_19,,Zaid,Jowar,15117.34,2698.63,40796.11
Punjab,Punj_District_08,2018.0,Kharif,Rice,,4800.3,159259.17
,Punj_District_12,2010.0,Kharif,Rice,14393.67,4661.64,67098.11
Karnataka,Karn_District_13,2021.0,Kharif,Rice,1340.49,2998.39,4019.31
Bihar,Biha_District_05,2014.0,Kharif,Maize,31735.36,976.54,30990.85
Punjab,Punj_District_02,2014.0,Rabi,Maize,7102.95,,16947.71
Gujarat,Guja_District_08,2019.0,Zaid,Groundnut,48314.97,3182.19,153747.41
,West_District_04,2017.0,Zaid,Cotton,46657.86,4119.62,192212.65
Gujarat,Guja_District_12,2016.0,Rabi,Sugarcane,23422.34,4031.44,94425.76
Telangana,Tela_District_10,2010.0,Zaid,Wheat,990.06,991.15,981.3
Telangana,Tela_District_03,2021.0,Kharif,,41488.49,4085.68,169508.69
Assam,Assa_District_10,2014.0,Zaid,Barley,11708.77,2888.46,33820.31
Andhra Pradesh,Andh_District_13,2019.0,Zaid,Cotton,30340.19,4404.83,133643.38
Tamil Nadu,Tami_District_03,2021.0,Rabi,Soybean,30195.05,,71156.75
Andhra Pradesh,Andh_District_02,2022.0,Kharif,Wheat,18771.78,2416.47,45361.44
Madhya Pradesh,Madh_District_17,2018.0,Kharif,Barley,32631.36,4403.71,143699.05
Madhya Pradesh,Madh_District_01,2020.0,Rabi,Soybean,22749.45,1615.28,36746.73
Punjab,Punj_District_09,2021.0,Rabi,Barley,11909.45,3857.06,45935.46
West Bengal,West_District_07,2012.0,Zaid,Jowar,40846.78,973.75,39774.55
Andhra Pradesh,Andh_District_03,,Zaid,Soybean,3421.29,3174.95,10862.42
Rajasthan,Raja_District_18,2014.0,Rabi,Cotton,,4210.99,31136.23
Andhra Pradesh,Andh_District_17,2020.0,Zaid,Maize,15585.7,1147.42,17883.34
Madhya Pradesh,,2015.0,Kharif,Soybean,46056.43,1244.89,57335.19
Madhya Pradesh,Madh_District_12,2015.0,Rabi,Sugarcane,14307.53,1191.26,17043.99
Punjab,Punj_District_10,2016.0,Rabi,Groundnut,5862.95,595.17,3489.45
Karnataka,,2018.0,Zaid,Maize,2864.23,1285.89,3683.08
Odisha,Odis_District_03,2019.0,Kharif,Sugarcane,2763.76,,8733.9
Telangana,Tela_District_19,2023.0,Rabi,,34067.65,2271.34,77379.22
Haryana,Hary_District_18,2014.0,Zaid,Sugarcane,15967.76,2770.37,44236.6
Punjab,Punj_District_18,,Zaid,Cotton,43762.75,4330.09,189496.65
Punjab,Punj_District_06,2021.0,Zaid,Groundnut,2269.41,1316.74,2988.22
,Hary_District_02,2023.0,Rabi,Wheat,11913.57,1622.24,19326.67
Punjab,Punj_District_18,2021.0,Zaid,Mustard,28604.51,2373.18,67883.65
Telangana,Tela_District_03,2016.0,Zaid,Cotton,2557.78,2181.26,5579.18
Uttar Pradesh,Utta_District_02,2012.0,Zaid,,26235.27,957.52,25120.8
Uttar Pradesh,Utta_District_03,2019.0,Rabi,Mustard,41689.58,,30593.06
West Bengal,West_District_02,2011.0,Kharif,Soybean,46249.61,946.01,43752.59
West Bengal,West_District_07,2022.0,Zaid,Rice,42194.39,4561.94,192488.28
,Tami_District_07,2017.0,Rabi,Groundnut,48980.58,4109.12,201267.08
Punjab,Punj_District_01,2013.0,Rabi,Groundnut,38995.93,3391.17,132241.83
Gujarat,Guja_District_19,2015.0,,Groundnut,38971.92,1105.48,43082.68
West Bengal,West_District_20,2015.0,Kharif,Rice,26849.79,2814.0,75555.31
Madhya Pradesh,Madh_District_08,2021.0,Kharif,Sugarcane,42892.85,2582.6,110775.07
Punjab,Punj_District_12,2010.0,Zaid,Jowar,19315.97,3378.03,65249.93
Gujarat,Guja_District_17,2014.0,Rabi,Sugarcane,13396.52,1128.96,15124.14
Bihar,Biha_District_16,2022.0,Zaid,Cotton,23946.08,2376.0,56895.89
Tamil Nadu,,2023.0,Kharif,Sugarcane,11705.24,2153.8,25210.75
Punjab,Punj_District_20,2023.0,Kharif,Mustard,18382.98,1973.73,36283.04
Punjab,Punj_District_15,2011.0,Zaid,Wheat,19035.26,3585.85,68257.59
Odisha,Odis_District_03,2023.0,Rabi,,14914.14,4769.86,71138.36
Odisha,Odis_District_14,2018.0,Kharif,Jowar,45825.77,2664.1,122084.43
Haryana,Hary_District_15,2019.0,Kharif,Barley,16485.22,2909.46,47963.09
West Bengal,West_District_15,2017.0,Zaid,Wheat,42443.17,3436.64,145861.9
West Bengal,West_District_18,2012.0,Kharif,Jowar,40239.15,2897.25,116582.88
Madhya Pradesh,Madh_District_03,2019.0,Rabi,Jowar,31682.59,1796.7,56924.11
Assam,Assa_District_07,2019.0,Zaid,Sugarcane,36771.17,1410.82,51877.5
Assam,Assa_District_08,2022.0,,Barley,34770.43,4373.24,152059.44
Madhya Pradesh,Madh_District_08,2014.0,Rabi,Soybean,6691.93,3264.71,21847.21
Rajasthan,Raja_District_15,2017.0,Zaid,Cotton,4845.28,3765.72,18245.97
Assam,Assa_District_15,2019.0,Kharif,Mustard,4316.21,4711.73,20336.82
Rajasthan,Raja_District_07,2022.0,Zaid,Wheat,6956.66,4814.96,33496.04
West Bengal,West_District_11,2019.0,Kharif,Soybean,40064.12,3171.57,127066.16
Bihar,Biha_District_07,2013.0,Kharif,Barley,39152.94,4078.02,159666.47
Uttar Pradesh,Utta_District_20,2016.0,Kharif,,47306.75,1640.23,77593.95
Telangana,Tela_District_16,2011.0,Zaid,Cotton,29544.79,927.72,27409.29
Assam,Assa_District_01,2014.0,Kharif,Maize,30846.67,1270.81,39200.26
Bihar,Biha_District_13,2017.0,Rabi,Maize,28291.04,3075.94,87021.54
Rajasthan,,2015.0,Kharif,Rice,23352.66,2851.84,66598.05
Haryana,Hary_District_05,2010.0,Zaid,Wheat,38219.78,4096.6,156571.15
Bihar,Biha_District_14,2020.0,Rabi,Barley,24658.45,3198.17,78861.92
Assam,Assa_District_04,2016.0,Zaid,Soybean,46568.69,1038.8,48375.56
West Bengal,West_District_08,2010.0,Zaid,Wheat,5943.47,894.69,5317.56
Andhra Pradesh,Andh_District_04,2014.0,Rabi,Barley,32927.38,,78490.31
Telangana,Tela_District_16,2017.0,Kharif,Sugarcane,38738.64,3520.54,136380.93
Uttar Pradesh,Utta_District_14,2012.0,Rabi,Groundnut,16748.52,4542.65,76082.66
Madhya Pradesh,Madh_District_12,2012.0,Rabi,Mustard,38150.35,1717.41,65519.79
Uttar Pradesh,Utta_District_05,2023.0,,Sugarcane,18273.18,1914.98,34992.77
West Bengal,West_District_13,2016.0,Zaid,Mustard,7964.82,1165.03,9279.25
Gujarat,Guja_District_01,2017.0,Zaid,Groundnut,46812.76,2470.57,115654.2
Madhya Pradesh,Madh_District_13,2014.0,Zaid,Jowar,19227.66,3783.59,72749.58
Bihar,Biha_District_01,2012.0,Kharif,Jowar,27694.35,4712.63,130513.22
Karnataka,Karn_District_06,2022.0,Zaid,Soybean,39037.04,2657.16,103727.66
Karnataka,Karn_District_08,2011.0,Rabi,Cotton,18880.34,4939.84,93265.86
Telangana,Tela_District_04,2020.0,Zaid,Jowar,35916.24,4780.38,171693.28
Tamil Nadu,Tami_District_02,2013.0,Rabi,Barley,6012.08,4327.4,26016.67
Maharashtra,Maha_District_07,2012.0,Kharif,Soybean,31889.99,,33441.44
Gujarat,Guja_District_20,2022.0,Rabi,Maize,29454.07,3587.43,105664.41
Karnataka,Karn_District_14,2018.0,Kharif,Sugarcane,713.9,2544.43,1816.47
Madhya Pradesh,Madh_District_20,2016.0,Kharif,Groundnut,41287.44,1829.12,75519.68
West Bengal,West_District_14,2019.0,Kharif,Soybean,22981.55,,57233.48
West Bengal,West_District_18,2011.0,Rabi,Barley,15166.18,4632.99,70264.76
Odisha,Odis_District_13,2010.0,,Barley,39086.57,,38994.72
Haryana,Hary_District_17,2013.0,Zaid,Wheat,49852.03,4456.4,222160.59
Rajasthan,Raja_District_10,2013.0,Kharif,Maize,14267.03,4266.03,60863.58
Bihar,Biha_District_14,2012.0,Zaid,Groundnut,5410.33,4995.97,27029.85
Assam,Assa_District_11,2018.0,Rabi,Jowar,33317.67,3425.56,114131.68
Uttar Pradesh,Utta_District_18,2019.0,Rabi,Cotton,4612.99,4536.65,20927.52
Andhra Pradesh,Andh_District_18,2010.0,Kharif,Barley,1547.08,1583.73,2450.16
Haryana,Hary_District_19,2014.0,Rabi,Groundnut,7236.79,3995.46,28914.3
Tamil Nadu,Tami_District_12,2011.0,Rabi,Mustard,,4597.87,45934.51
,Madh_District_15,2010.0,Zaid,Groundnut,32847.83,662.73,21769.24
Bihar,Biha_District_02,,Zaid,Cotton,370.95,732.46,271.71
Assam,Assa_District_09,2012.0,Rabi,Maize,30335.67,4106.67,124578.59
Madhya Pradesh,Madh_District_02,2014.0,Zaid,Mustard,12003.79,,51884.46
Punjab,Punj_District_20,2015.0,Kharif,Wheat,2955.87,4104.34,12131.9
Assam,Assa_District_10,2014.0,Kharif,Barley,46396.99,3974.49,184404.37
Madhya Pradesh,Madh_District_03,2015.0,Rabi,Maize,34936.23,4270.91,149209.49
Bihar,Biha_District_14,2017.0,Zaid,Wheat,2103.55,1408.02,2961.84
Rajasthan,Raja_District_06,2022.0,Zaid,Wheat,6333.69,2770.39,17546.79
Odisha,,2022.0,Zaid,Jowar,37284.89,3335.05,124346.97
Telangana,Tela_District_01,2013.0,,Sugarcane,42571.44,1198.46,51020.17
Punjab,Punj_District_02,2010.0,Kharif,Cotton,36757.59,1368.69,
Bihar,Biha_District_18,2015.0,Rabi,Cotton,13610.86,3694.57,50286.28
Tamil Nadu,,2017.0,Zaid,Jowar,49012.22,3251.95,159385.29
Assam,Assa_District_18,2010.0,Kharif,Jowar,2819.57,3273.39,9229.55
,Raja_District_20,2020.0,,Sugarcane,2213.29,4478.66,9912.57
Assam,Assa_District_03,2015.0,Rabi,Mustard,35507.96,1279.08,45417.52
Haryana,Hary_District_01,,Rabi,Jowar,4676.88,1325.9,6201.08
Bihar,,2015.0,,Sugarcane,49003.36,2563.52,125621.09
Assam,Assa_District_10,2017.0,Zaid,Sugarcane,39225.64,3363.84,131948.78
Andhra Pradesh,Andh_District_03,2016.0,Rabi,Barley,28663.42,1153.09,33051.5
Maharashtra,Maha_District_15,2019.0,Rabi,Rice,47306.62,1856.04,87802.98
Bihar,Biha_District_10,2021.0,Rabi,Groundnut,28943.06,3648.99,105612.94
,Madh_District_15,2015.0,Zaid,Mustard,32496.73,4732.67,153796.3
Bihar,Biha_District_14,2018.0,Zaid,Cotton,7507.11,2787.59,20926.74
Andhra Pradesh,Andh_District_16,2022.0,Kharif,Sugarcane,20261.32,2633.76,53363.45
Rajasthan,Raja_District_13,2022.0,Zaid,Groundnut,6048.95,1103.43,6674.59
Rajasthan,Raja_District_16,2020.0,Kharif,Jowar,13975.97,1871.17,26151.42
Gujarat,Guja_District_14,2020.0,,Mustard,21452.37,3249.44,69708.19
Assam,Assa_District_05,,Zaid,Wheat,,2353.15,74754.85
Rajasthan,Raja_District_04,2013.0,Rabi,Maize,20498.28,1479.33,30323.72
Haryana,Hary_District_04,2020.0,Rabi,Rice,29456.48,1926.68,56753.21
,Karn_District_13,2016.0,Rabi,Barley,1899.39,2382.8,4525.87
Haryana,Hary_District_02,2021.0,Zaid,Jowar,23759.22,1515.17,35999.26
Haryana,Hary_District_07,2013.0,Kharif,Jowar,28665.65,3045.97,87314.71
West Bengal,West_District_12,2013.0,Rabi,Rice,35129.91,3415.77,119995.69
Tamil Nadu,Tami_District_06,2022.0,Kharif,Maize,32656.41,1922.96,62796.97
Andhra Pradesh,Andh_District_06,2014.0,Rabi,Barley,39392.87,2971.15,117042.13
Uttar Pradesh,Utta_District_16,2021.0,Rabi,Groundnut,21627.77,3317.06,
Odisha,Odis_District_03,2010.0,Rabi,Soybean,18096.8,2807.33,50803.69
Maharashtra,Maha_District_01,2014.0,Rabi,Groundnut,36861.61,4488.81,165464.76
Punjab,Punj_District_06,2020.0,Kharif,Sugarcane,46060.75,2766.35,127420.16
Tamil Nadu,Tami_District_04,2021.0,Kharif,Jowar,26061.73,4099.42,106837.98
Punjab,Punj_District_20,2022.0,Kharif,Wheat,15791.09,4268.22,67399.85
Karnataka,Karn_District_06,2014.0,Kharif,,24757.67,1021.36,25286.49
West Bengal,West_District_18,2021.0,Zaid,Rice,3695.75,4288.97,
Maharashtra,Maha_District_08,2017.0,,Wheat,2872.84,1762.75,5064.1
Rajasthan,Raja_District_08,2016.0,Zaid,Barley,16773.09,1278.48,21444.06
Uttar Pradesh,Utta_District_18,2022.0,Zaid,Jowar,15763.28,3842.12,60564.41
Telangana,Tela_District_04,2015.0,Rabi,Jowar,832.67,4222.28,3515.77
Telangana,Tela_District_04,2022.0,Zaid,Groundnut,42841.75,2175.18,93188.52
Andhra Pradesh,Andh_District_11,2015.0,Zaid,Rice,7765.28,3203.78,24878.25
Assam,Assa_District_13,2011.0,Zaid,Rice,6071.66,2142.14,13006.35
Karnataka,Karn_District_06,2016.0,Zaid,,47925.62,4979.59,238649.94
Uttar Pradesh,Utta_District_08,2016.0,Zaid,Rice,38628.03,1899.33,73367.38
Punjab,Punj_District_01,2010.0,Kharif,Sugarcane,34414.49,3674.33,126450.19
Gujarat,Guja_District_13,2023.0,Zaid,Sugarcane,19453.3,3384.0,
Telangana,Tela_District_01,2018.0,Kharif,Soybean,635.31,,915.33
Punjab,Punj_District_07,2013.0,Kharif,Rice,26301.91,1236.88,32532.31
Gujarat,Guja_District_04,2010.0,Zaid,Maize,8378.75,4263.37,35721.71
Assam,Assa_District_02,2023.0,Kharif,Barley,49457.74,3001.86,148465.21
,West_District_08,2013.0,Kharif,Soybean,41969.58,4956.45,208020.12
Telangana,Tela_District_10,2012.0,Rabi,Barley,7165.63,2517.11,18036.68
Rajasthan,Raja_District_11,2010.0,Kharif,Barley,19689.38,860.22,16937.2
Madhya Pradesh,Madh_District_07,2010.0,Rabi,Barley,37790.98,2452.01,92663.86
Uttar Pradesh,Utta_District_10,,Kharif,Barley,23519.41,1178.03,27706.57
Maharashtra,Maha_District_16,2022.0,Zaid,Sugarcane,,4581.97,41825.32
West Bengal,West_District_10,2010.0,Kharif,Soybean,2327.99,1547.84,3603.36
Tamil Nadu,Tami_District_07,2023.0,Zaid,Jowar,14673.76,2705.89,39705.58
,Andh_District_03,2013.0,Rabi,,29363.61,2719.8,
Andhra Pradesh,Andh_District_17,2022.0,Zaid,Mustard,4297.36,1596.5,6860.74
West Bengal,West_District_17,2012.0,,Groundnut,42195.06,3369.15,142161.49
,Guja_District_17,2022.0,Zaid,Barley,32492.54,3515.91,114240.85
Maharashtra,Maha_District_16,2019.0,Kharif,Soybean,38168.86,761.49,29065.21
Gujarat,Guja_District_04,2022.0,Rabi,Cotton,18393.76,2927.87,53854.54
Andhra Pradesh,Andh_District_05,2012.0,Kharif,Groundnut,16988.98,4300.15,73055.16
Odisha,Odis_District_18,2012.0,Rabi,Jowar,24180.37,3958.82,95725.73
Maharashtra,Maha_District_06,2010.0,Rabi,Maize,42615.57,2771.56,118111.61
Gujarat,Guja_District_10,2021.0,Kharif,Mustard,45486.66,3142.06,142921.81
Telangana,Tela_District_13,,Kharif,Rice,42528.69,2032.66,86446.37
Punjab,Punj_District_18,2023.0,Zaid,Cotton,24990.97,2891.35,72257.64
Andhra Pradesh,Andh_District_13,2017.0,Rabi,Sugarcane,5338.49,2293.49,12243.77
Odisha,Odis_District_03,2015.0,Rabi,Cotton,45875.15,3338.75,
Karnataka,Karn_District_20,2015.0,Kharif,,8957.58,2024.85,18137.76
Haryana,Hary_District_08,2011.0,Zaid,Soybean,9660.99,611.7,5909.63
Karnataka,Karn_District_06,2013.0,Rabi,Rice,46380.28,2516.93,
Rajasthan,Raja_District_17,2023.0,Kharif,Sugarcane,15446.0,3193.15,49321.39
Maharashtra,Maha_District_14,2014.0,Rabi,Soybean,464.99,1751.1,814.24
Andhra Pradesh,Andh_District_09,2015.0,Kharif,Barley,35181.37,3351.96,117926.54
Maharashtra,Maha_District_03,2019.0,Zaid,Barley,49092.12,3291.61,161592.11
Uttar Pradesh,Utta_District_01,2016.0,Rabi,Wheat,23927.54,3926.45,93950.29
Maharashtra,Maha_District_09,2013.0,Kharif,Sugarcane,45176.06,3743.13,169099.87
Odisha,Odis_District_03,,Kharif,Groundnut,48164.24,4019.02,193573.04
Karnataka,Karn_District_18,2020.0,Zaid,Soybean,43353.39,,
Haryana,Hary_District_13,2011.0,Rabi,Maize,36647.43,,90900.29
Punjab,Punj_District_17,2018.0,Kharif,Sugarcane,27699.88,3443.46,95383.43
Odisha,Odis_District_03,2018.0,,Wheat,48493.77,4930.6,239103.38
Maharashtra,Maha_District_02,2014.0,,Sugarcane,14482.59,3801.89,55061.21
Rajasthan,Raja_District_05,2019.0,Kharif,Sugarcane,37524.18,2059.22,77270.54
Bihar,Biha_District_11,2022.0,Kharif,Rice,6281.1,684.26,4297.91
Maharashtra,Maha_District_05,2011.0,Kharif,Soybean,38889.42,2703.65,105143.38
,Utta_District_10,2018.0,Rabi,Cotton,49278.45,2592.38,127748.47
West Bengal,West_District_11,2017.0,Rabi,Jowar,48898.06,2352.09,115012.64
Andhra Pradesh,Andh_District_04,2011.0,Rabi,Maize,39704.74,881.69,35007.27
Tamil Nadu,Tami_District_13,2022.0,Kharif,Jowar,27817.54,4109.27,114309.78
Assam,Assa_District_10,2014.0,Zaid,Mustard,46242.61,4201.62,194293.88
Maharashtra,Maha_District_12,2018.0,Zaid,Mustard,1944.84,2177.16,
Madhya Pradesh,Madh_District_20,2020.0,Kharif,Mustard,2530.05,991.77,2509.23
,Utta_District_07,2019.0,,Jowar,,3709.66,125378.16
Uttar Pradesh,Utta_District_10,2011.0,Zaid,Wheat,38708.66,4394.55,170107.14
Punjab,Punj_District_11,2010.0,Rabi,Jowar,36997.63,4103.92,151835.31
Andhra Pradesh,Andh_District_06,2023.0,Zaid,Jowar,2543.29,1555.41,3955.86
Rajasthan,Raja_District_03,2020.0,Rabi,Jowar,31132.7,4361.56,135787.14
Maharashtra,Maha_District_07,2017.0,Zaid,Rice,324.56,2815.83,913.91
Karnataka,Karn_District_06,2015.0,Rabi,Barley,33896.64,633.23,
